,similarity,tweet1,tweet2
0,0.26026844421154943,1,2
1,0.7881778650064305,1,3
2,0.7202229428996859,1,4
3,0.5102506808064546,1,5
4,0.12875404829545,1,6
5,0.338122925389939,1,7
6,0.19891920649258268,1,8
7,0.5106603578435868,1,9
8,0.2043329252460435,1,10
9,0.28315460353475774,2,3
10,0.3071070735658078,2,4
11,0.3473958432724088,2,5
12,0.0018260523348946356,2,6
13,0.19960802540674505,2,7
14,0.3399228799132497,2,8
15,0.30857483837094035,2,9
16,0.5492635687603991,2,10
17,0.857896071219537,3,4
18,0.6889496476947127,3,5
19,0.13264937538365906,3,6
20,0.42046786610443715,3,7
21,0.2476239530369788,3,8
22,0.6465197930197415,3,9
23,0.39517727464121233,3,10
24,0.5988663098259748,4,5
25,0.09059786457288803,4,6
26,0.317500864239984,4,7
27,0.22677069765972172,4,8
28,0.4537808635358869,4,9
29,0.3057383191109475,4,10
30,0.1960682126922481,5,6
31,0.35866415680171365,5,7
32,0.34304673990622914,5,8
33,0.7719237378748812,5,9
34,0.4778951822014182,5,10
35,0.2588639113927102,6,7
36,0.055460770174232954,6,8
37,0.20015863564125658,6,9
38,0.06989876142935732,6,10
39,0.18553269208718046,7,8
40,0.290035123801708,7,9
41,0.12421586384237387,7,10
42,0.3581325508715383,8,9
43,0.30673207410153364,8,10
44,0.4548616035281127,9,10
